Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SHELFORD,"2,400,000","1,033.34","2,323",Mar-23,SHELFORD ROAD,Resale,Strata,96,"25,000",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
PARC RIVIERA,"950,000",602.78,"1,576",Mar-23,WEST COAST VALE,Resale,Strata,56,"16,964",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
REFLECTIONS AT KEPPEL BAY,"3,100,000","1,948.28","1,591",Mar-23,KEPPEL BAY VIEW,Resale,Strata,181,"17,127",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
RIVERTREES RESIDENCES,"1,718,000","1,205.57","1,425",Mar-23,FERNVALE CLOSE,Resale,Strata,112,"15,339",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
THE PARC CONDOMINIUM,"2,020,000","1,216.33","1,661",Mar-23,WEST COAST WALK,Resale,Strata,113,"17,876",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
PARK COLONIAL,"1,450,000",678.13,"2,138",Mar-23,WOODLEIGH LANE,Resale,Strata,63,"23,016",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15
PARC PALAIS,"1,533,000","1,076.4","1,424",Mar-23,HUME AVENUE,Resale,Strata,100,"15,330",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
PATERSON SUITES,"4,900,000","1,679.18","2,918",Mar-23,PATERSON ROAD,Resale,Strata,156,"31,410",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
ADANA @ THOMSON,"1,568,800",871.88,"1,799",Mar-23,OLD UPPER THOMSON ROAD,Resale,Strata,81,"19,368",-,Apartment,1,Freehold,20,Outside Central Region,01 to 05
STURDEE RESIDENCES,"1,450,000",721.19,"2,011",Mar-23,BEATTY ROAD,Resale,Strata,67,"21,642",-,Condominium,1,99 yrs lease commencing from 2015,08,Rest of Central Region,16 to 20
D'LEEDON,"1,526,000",785.77,"1,942",Mar-23,LEEDON HEIGHTS,Resale,Strata,73,"20,904",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
THE MINTON,"1,590,000","1,108.69","1,434",Mar-23,HOUGANG STREET 11,Resale,Strata,103,"15,437",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
TANGLIN VIEW,"1,830,000","1,151.75","1,589",Mar-23,PRINCE CHARLES CRESCENT,Resale,Strata,107,"17,103",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,06 to 10
PARK PLACE RESIDENCES AT PLQ,"1,400,000",667.37,"2,098",Mar-23,PAYA LEBAR ROAD,Resale,Strata,62,"22,581",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,01 to 05
THE BAYSHORE,"1,520,000","1,184.04","1,284",Mar-23,BAYSHORE ROAD,Resale,Strata,110,"13,818",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
THE BAYSHORE,"1,850,000","1,431.61","1,292",Mar-23,BAYSHORE ROAD,Resale,Strata,133,"13,910",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,21 to 25
THE TRILINQ,"1,230,000",710.42,"1,731",Mar-23,JALAN LEMPENG,Resale,Strata,66,"18,636",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
QUEENS PEAK,"1,620,000",807.3,"2,007",Mar-23,DUNDEE ROAD,Resale,Strata,75,"21,600",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,21 to 25
PARK PLACE RESIDENCES AT PLQ,"990,000",484.38,"2,044",Mar-23,PAYA LEBAR ROAD,Resale,Strata,45,"22,000",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10
THE WATERSIDE,"4,030,000","2,142.04","1,881",Mar-23,TANJONG RHU ROAD,Resale,Strata,199,"20,251",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
FULCRUM,"1,750,000",818.06,"2,139",Mar-23,FORT ROAD,Resale,Strata,76,"23,026",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
MELVILLE PARK,"868,000",958,906,Mar-23,SIMEI STREET 1,Resale,Strata,89,"9,753",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"2,500,000","1,399.32","1,787",Mar-23,ALEXANDRA VIEW,Resale,Strata,130,"19,231",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,11 to 15
THE EDGEWATER,"1,080,000",925.7,"1,167",Mar-23,JALAN LOYANG BESAR,Resale,Strata,86,"12,558",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
